Date	1W
15.03.2007	26.1113
16.03.2007	26.0318
19.03.2007	26.0396
20.03.2007	26.023
21.03.2007	25.9741
22.03.2007	26.0097
26.03.2007	26.0189
27.03.2007	25.9944
28.03.2007	26.0185
29.03.2007	26.007
30.03.2007	25.9815
02.04.2007	25.9828
03.04.2007	25.9925
04.04.2007	25.9722
05.04.2007	25.9125
06.04.2007	25.961
09.04.2007	25.9771
10.04.2007	25.8958
11.04.2007	25.9085
12.04.2007	25.85
13.04.2007	25.8032
16.04.2007	25.7997
17.04.2007	25.7715
18.04.2007	25.7239
19.04.2007	25.7261
20.04.2007	25.7423
23.04.2007	25.7529
24.04.2007	25.7078
25.04.2007	25.6927
26.04.2007	25.7348
27.04.2007	25.6789
30.04.2007	25.6853
01.05.2007	25.7239
02.05.2007	25.7291
03.05.2007	25.7763
04.05.2007	25.7314
07.05.2007	25.7253
08.05.2007	25.7901
09.05.2007	25.8085
10.05.2007	25.8473
11.05.2007	25.8087
14.05.2007	25.7845
15.05.2007	25.7428
16.05.2007	25.8138
17.05.2007	25.8336
18.05.2007	25.8245
21.05.2007	25.8629
22.05.2007	25.876
23.05.2007	25.8663
24.05.2007	25.8994
25.05.2007	25.8879
28.05.2007	25.8789
29.05.2007	25.889
30.05.2007	25.9014
31.05.2007	25.8735
01.06.2007	25.8872
04.06.2007	25.8514
05.06.2007	25.8201
06.06.2007	25.8261
07.06.2007	25.8925
08.06.2007	25.9605
13.06.2007	26.0275
14.06.2007	26.0311
15.06.2007	25.9586
18.06.2007	25.9293
19.06.2007	25.9178
20.06.2007	25.9408
21.06.2007	25.9432
22.06.2007	25.878
25.06.2007	25.8724
26.06.2007	25.7813
27.06.2007	25.8291
28.06.2007	25.8062
29.06.2007	25.7349
02.07.2007	25.6453
03.07.2007	25.6709
04.07.2007	25.6467
05.07.2007	25.683
06.07.2007	25.7003
09.07.2007	25.6553
10.07.2007	25.5358
11.07.2007	25.531
12.07.2007	25.4846
13.07.2007	25.446
16.07.2007	25.4702
17.07.2007	25.4558
18.07.2007	25.4283
19.07.2007	25.4107
20.07.2007	25.3838
23.07.2007	25.3985
24.07.2007	25.3857
25.07.2007	25.4788
26.07.2007	25.4615
27.07.2007	25.5874
06.08.2007	25.4764
07.08.2007	25.4691
08.08.2007	25.4298
09.08.2007	25.4558
10.08.2007	25.4522
13.08.2007	25.5287
14.08.2007	25.5947
16.08.2007	25.7671
17.08.2007	25.7591
20.08.2007	25.7875
21.08.2007	25.8822
22.08.2007	25.7584
23.08.2007	25.7257
24.08.2007	25.6733
27.08.2007	25.6805
28.08.2007	25.7551
29.08.2007	25.6518
30.08.2007	25.656
31.08.2007	25.65
03.09.2007	25.6058
04.09.2007	25.678
05.09.2007	25.6431
06.09.2007	25.6357
07.09.2007	25.5672
10.09.2007	25.5221
11.09.2007	25.4539
12.09.2007	25.3767
13.09.2007	25.3544
14.09.2007	25.3378
17.09.2007	25.3338
18.09.2007	25.3236
19.09.2007	25.198
20.09.2007	25.0933
21.09.2007	25.051
24.09.2007	25.0437
25.09.2007	24.9877
26.09.2007	25.0013
27.09.2007	24.9761
28.09.2007	24.8808
01.10.2007	24.898
02.10.2007	24.9637
03.10.2007	25.0174
04.10.2007	24.9787
05.10.2007	24.9834
08.10.2007	25.057
09.10.2007	25.0016
10.10.2007	24.9602
11.10.2007	24.9209
12.10.2007	24.9324
15.10.2007	24.9069
16.10.2007	24.9273
17.10.2007	24.9057
18.10.2007	24.8221
19.10.2007	24.8571
22.10.2007	24.9444
23.10.2007	24.8626
24.10.2007	24.8769
25.10.2007	24.8158
26.10.2007	24.7391
29.10.2007	24.7028
30.10.2007	24.6985
31.10.2007	24.6681
01.11.2007	24.7014
02.11.2007	24.6335
06.11.2007	24.5867
07.11.2007	24.4985
08.11.2007	24.4761
09.11.2007	24.4661
12.11.2007	24.6148
13.11.2007	24.5476
14.11.2007	24.496
15.11.2007	24.5373
16.11.2007	24.5002
19.11.2007	24.488
20.11.2007	24.3382
21.11.2007	24.317
22.11.2007	24.319
23.11.2007	24.3283
26.11.2007	24.2945
27.11.2007	24.3398
28.11.2007	24.3239
29.11.2007	24.4264
30.11.2007	24.5092
03.12.2007	24.4793
04.12.2007	24.3955
05.12.2007	24.5303
06.12.2007	24.5012
07.12.2007	24.4812
10.12.2007	24.4329
11.12.2007	24.4736
12.12.2007	24.4381
13.12.2007	24.7474
14.12.2007	24.6872
17.12.2007	24.7146
18.12.2007	24.7075
19.12.2007	24.7344
20.12.2007	24.7783
24.12.2007	24.714
25.12.2007	24.7152
26.12.2007	24.6394
27.12.2007	24.6039
28.12.2007	24.4857
31.12.2007	24.6036
01.01.2008	24.6398
02.01.2008	24.4967
03.01.2008	24.4634
04.01.2008	24.4637
07.01.2008	24.5077
08.01.2008	24.4897
09.01.2008	24.4815
10.01.2008	24.3492
11.01.2008	24.3746
14.01.2008	24.2808
15.01.2008	24.3436
16.01.2008	24.4871
17.01.2008	24.4988
18.01.2008	24.5216
21.01.2008	24.6708
22.01.2008	24.672
23.01.2008	24.674
24.01.2008	24.4713
28.01.2008	24.4737
29.01.2008	24.4824
30.01.2008	24.4154
31.01.2008	24.4418
01.02.2008	24.4975
04.02.2008	24.4975
05.02.2008	24.6343
06.02.2008	24.6494
07.02.2008	24.7934
08.02.2008	24.7419
11.02.2008	24.6966
12.02.2008	24.6335
13.02.2008	24.6706
14.02.2008	24.6185
15.02.2008	24.5926
19.02.2008	24.5627
20.02.2008	24.5621
21.02.2008	24.4854
22.02.2008	24.4485
25.02.2008	24.4537
26.02.2008	24.2708
27.02.2008	24.1038
28.02.2008	24.013
29.02.2008	24.0218
03.03.2008	24.0306
04.03.2008	24.0117
05.03.2008	23.9614
06.03.2008	23.8305
07.03.2008	23.8599
10.03.2008	23.878
11.03.2008	23.882
12.03.2008	23.7021
13.03.2008	23.6277
14.03.2008	23.6039
17.03.2008	23.5578
18.03.2008	23.6431
19.03.2008	23.649
20.03.2008	23.8216
21.03.2008	23.8042
24.03.2008	23.8417
25.03.2008	23.6256
26.03.2008	23.4601
27.03.2008	23.5181
28.03.2008	23.5142
31.03.2008	23.5055
01.04.2008	23.6498
02.04.2008	23.5705
03.04.2008	23.5884
04.04.2008	23.5449
07.04.2008	23.5568
08.04.2008	23.5591
09.04.2008	23.4647
10.04.2008	23.5433
11.04.2008	23.4762
14.04.2008	23.4592
15.04.2008	23.4989
16.04.2008	23.3721
17.04.2008	23.3992
18.04.2008	23.4765
21.04.2008	23.4022
22.04.2008	23.3254
23.04.2008	23.4202
24.04.2008	23.5789
25.04.2008	23.6321
28.04.2008	23.5983
29.04.2008	23.6823
30.04.2008	23.6452
01.05.2008	23.7881
02.05.2008	23.8112
05.05.2008	23.7672
06.05.2008	23.7174
07.05.2008	23.8289
08.05.2008	23.8292
12.05.2008	23.6956
13.05.2008	23.8153
14.05.2008	23.8842
15.05.2008	23.9
19.05.2008	23.7979
20.05.2008	23.7127
21.05.2008	23.5634
22.05.2008	23.6196
23.05.2008	23.5526
27.05.2008	23.6298
28.05.2008	23.6292
29.05.2008	23.7168
30.05.2008	23.6903
02.06.2008	23.7139
03.06.2008	23.7953
04.06.2008	23.8089
05.06.2008	23.6808
06.06.2008	23.543
09.06.2008	23.661
11.06.2008	23.6452
16.06.2008	23.6892
17.06.2008	23.655
18.06.2008	23.6331
19.06.2008	23.6553
20.06.2008	23.5789
23.06.2008	23.645
24.06.2008	23.5798
25.06.2008	23.526
26.06.2008	23.4418
27.06.2008	23.4147
30.06.2008	23.4469
01.07.2008	23.4304
02.07.2008	23.3779
08.07.2008	23.5266
09.07.2008	23.4293
10.07.2008	23.3629
11.07.2008	23.2517
14.07.2008	23.1617
15.07.2008	23.167
16.07.2008	23.2517
17.07.2008	23.2246
18.07.2008	23.2199
21.07.2008	23.1832
22.07.2008	23.2937
23.07.2008	23.3665
24.07.2008	23.3835
25.07.2008	23.3827
28.07.2008	23.3368
29.07.2008	23.4548
30.07.2008	23.452
31.07.2008	23.4444
01.08.2008	23.47
04.08.2008	23.415
05.08.2008	23.5505
06.08.2008	23.6638
07.08.2008	23.686
08.08.2008	24.2567
11.08.2008	24.3891
12.08.2008	24.2511
13.08.2008	24.2427
14.08.2008	24.4168
15.08.2008	24.5831
18.08.2008	24.5646
19.08.2008	24.4815
20.08.2008	24.4
21.08.2008	24.3087
22.08.2008	24.4013
25.08.2008	24.4394
26.08.2008	24.6982
27.08.2008	24.6537
28.08.2008	24.6514
29.08.2008	24.6508
03.09.2008	25.1178
04.09.2008	25.463
05.09.2008	25.4642
08.09.2008	25.555
09.09.2008	25.562
10.09.2008	25.7729
